Date,NAV,Dividend,TotalReturn,TotalReturnMethod
2025-06-03,0.7361,0.0,0.7361,reinvested_dividend_index_v1
2025-06-04,0.738,0.0,0.738,reinvested_dividend_index_v1
2025-06-05,0.7372,0.0,0.7372,reinvested_dividend_index_v1
2025-06-06,0.7408,0.0,0.7408,reinvested_dividend_index_v1
2025-06-09,0.7408,0.0,0.7408,reinvested_dividend_index_v1
2025-06-10,0.7404,0.0,0.7404,reinvested_dividend_index_v1
2025-06-11,0.7394,0.0,0.7394,reinvested_dividend_index_v1
2025-06-12,0.7439,0.0,0.7439,reinvested_dividend_index_v1
2025-06-13,0.7349,0.0,0.7349,reinvested_dividend_index_v1
2025-06-16,0.7387,0.0,0.7387,reinvested_dividend_index_v1
2025-06-17,0.7319,0.0,0.7319,reinvested_dividend_index_v1
2025-06-18,0.7298,0.0,0.7298,reinvested_dividend_index_v1
2025-06-19,0.7298,0.0,0.7298,reinvested_dividend_index_v1
2025-06-20,0.7263,0.0,0.7263,reinvested_dividend_index_v1
2025-06-23,0.7263,0.0,0.7263,reinvested_dividend_index_v1
2025-06-24,0.7378,0.0,0.7378,reinvested_dividend_index_v1
2025-06-25,0.7352,0.0,0.7352,reinvested_dividend_index_v1
2025-06-26,0.7404,0.0,0.7404,reinvested_dividend_index_v1
2025-06-30,0.7494,0.0,0.7494,reinvested_dividend_index_v1
2025-07-01,0.749,0.0,0.749,reinvested_dividend_index_v1
2025-07-02,0.7488,0.0,0.7488,reinvested_dividend_index_v1
2025-07-03,0.7541,0.0,0.7541,reinvested_dividend_index_v1
2025-07-04,0.7541,0.0,0.7541,reinvested_dividend_index_v1
2025-07-07,0.7501,0.0,0.7501,reinvested_dividend_index_v1
2025-07-08,0.7495,0.0,0.7495,reinvested_dividend_index_v1
2025-07-09,0.7536,0.0,0.7536,reinvested_dividend_index_v1
2025-07-10,0.7514,0.0,0.7514,reinvested_dividend_index_v1
2025-07-11,0.7476,0.0,0.7476,reinvested_dividend_index_v1
2025-07-14,0.7484,0.0,0.7484,reinvested_dividend_index_v1
2025-07-15,0.7439,0.0,0.7439,reinvested_dividend_index_v1
