Date,NAV,Dividend,TotalReturn,TotalReturnMethod
2026-03-18,0.9007,0.0,0.9007,reinvested_dividend_index_v1
2026-03-19,0.8985,0.0,0.8985,reinvested_dividend_index_v1
2026-03-24,0.8905,0.0,0.8905,reinvested_dividend_index_v1
2026-03-25,0.8904,0.0,0.8904,reinvested_dividend_index_v1
2026-03-26,0.8858,0.0,0.8858,reinvested_dividend_index_v1
2026-03-27,0.8655,0.0,0.8655,reinvested_dividend_index_v1
2026-03-30,0.8619,0.0,0.8619,reinvested_dividend_index_v1
2026-03-31,0.8733,0.0,0.8733,reinvested_dividend_index_v1
2026-04-01,0.8851,0.0,0.8851,reinvested_dividend_index_v1
2026-04-02,0.8784,0.0,0.8784,reinvested_dividend_index_v1
2026-04-03,0.8784,0.0,0.8784,reinvested_dividend_index_v1
2026-04-06,0.8784,0.0,0.8784,reinvested_dividend_index_v1
2026-04-07,0.8888,0.0,0.8888,reinvested_dividend_index_v1
2026-04-08,0.9136,0.0,0.9136,reinvested_dividend_index_v1
2026-04-09,0.9092,0.0,0.9092,reinvested_dividend_index_v1
2026-04-10,0.9162,0.0,0.9162,reinvested_dividend_index_v1
2026-04-13,0.9165,0.0,0.9165,reinvested_dividend_index_v1
2026-04-14,0.9362,0.0,0.9362,reinvested_dividend_index_v1
2026-04-15,0.9454,0.0,0.9454,reinvested_dividend_index_v1
2026-04-16,0.9488,0.0,0.9488,reinvested_dividend_index_v1
2026-04-17,0.9622,0.0,0.9622,reinvested_dividend_index_v1
2026-04-20,0.9619,0.0,0.9619,reinvested_dividend_index_v1
2026-04-21,0.9701,0.0,0.9701,reinvested_dividend_index_v1
2026-04-22,0.9658,0.0,0.9658,reinvested_dividend_index_v1
2026-04-23,0.9653,0.0,0.9653,reinvested_dividend_index_v1
2026-04-24,0.9672,0.0,0.9672,reinvested_dividend_index_v1
2026-04-27,0.9741,0.0,0.9741,reinvested_dividend_index_v1
2026-04-28,0.97,0.0,0.97,reinvested_dividend_index_v1
2026-04-29,0.9683,0.0,0.9683,reinvested_dividend_index_v1
2026-04-30,0.9605,0.0,0.9605,reinvested_dividend_index_v1
2026-05-04,0.9808,0.0,0.9808,reinvested_dividend_index_v1
2026-05-05,0.9785,0.0,0.9785,reinvested_dividend_index_v1
2026-05-06,0.982,0.0,0.982,reinvested_dividend_index_v1
2026-05-07,0.9866,0.0,0.9866,reinvested_dividend_index_v1
2026-05-08,0.982,0.0,0.982,reinvested_dividend_index_v1
2026-05-11,0.9808,0.0,0.9808,reinvested_dividend_index_v1
2026-05-12,0.9675,0.0,0.9675,reinvested_dividend_index_v1
2026-05-13,0.9651,0.0,0.9651,reinvested_dividend_index_v1
