Date,NAV,Dividend
2023-04-27,0.3707,
2023-04-28,0.373,
2023-05-02,0.3738,
2023-05-03,0.3695,
2023-05-05,0.3717,
2023-05-08,0.373,
2023-05-09,0.3687,
2023-05-10,0.368,
2023-05-11,0.3666,
2023-05-12,0.3653,
2023-05-15,0.3707,
2023-05-16,0.3731,
2023-05-17,0.3724,
2023-05-18,0.3761,
2023-05-19,0.3743,
2023-05-22,0.3769,
2023-05-23,0.3748,
2023-05-24,0.372,
2023-05-25,0.372,
2023-05-29,0.3741,
2023-05-30,0.3745,
2023-05-31,0.3689,
2023-06-01,0.368,
2023-06-02,0.3758,
2023-06-06,0.3755,
2023-06-07,0.3781,
2023-06-08,0.3774,
2023-06-09,0.381,
2023-06-12,0.3836,
2023-06-13,0.39,
2023-06-14,0.3907,
2023-06-15,0.3975,
2023-06-16,0.3998,
2023-06-19,0.3987,
2023-06-20,0.3951,
2023-06-21,0.3884,
2023-06-22,0.3884,
2023-06-23,0.3867,
2023-06-26,0.3824,
2023-06-27,0.3849,
2023-06-28,0.3843,
2023-06-30,0.3837,
2023-07-03,0.3908,
2023-07-04,0.392,
2023-07-05,0.3877,
2023-07-06,0.3817,
2023-07-07,0.3797,
2023-07-10,0.381,
2023-07-11,0.386,
2023-07-12,0.3885,
2023-07-13,0.3927,
2023-07-14,0.3893,
2023-07-17,0.3893,
2023-07-18,0.3836,
2023-07-20,0.3802,
2023-07-21,0.3815,
2023-07-24,0.3794,
2023-07-25,0.3895,
2023-07-26,0.3855,
2023-07-27,0.3853,
2023-07-28,0.3935,
2023-07-31,0.3892,
2023-08-01,0.3884,
2023-08-02,0.3814,
2023-08-03,0.3833,
2023-08-04,0.3844,
2023-08-07,0.3851,
2023-08-08,0.3814,
2023-08-09,0.3805,
2023-08-10,0.3777,
2023-08-11,0.375,
2023-08-14,0.3725,
2023-08-15,0.3729,
2023-08-16,0.3692,
2023-08-17,0.3728,
2023-08-18,0.3662,
2023-08-21,0.3629,
2023-08-22,0.3679,
2023-08-23,0.3685,
2023-08-24,0.3759,
2023-08-25,0.3687,
2023-08-28,0.3716,
2023-08-29,0.378,
2023-08-30,0.3785,
2023-09-01,0.3762,
2023-09-04,0.384,
2023-09-05,0.3809,
2023-09-06,0.3807,
2023-09-07,0.3759,
2023-09-08,0.375,
2023-09-11,0.3742,
2023-09-12,0.374,
2023-09-13,0.3732,
2023-09-14,0.3752,
2023-09-15,0.3775,
2023-09-18,0.3743,
2023-09-19,0.3738,
2023-09-20,0.3686,
2023-09-21,0.3627,
2023-09-22,0.3691,
2023-09-25,0.3659,
2023-09-26,0.3619,
2023-09-27,0.3656,
2023-09-29,0.3662,
2023-10-02,0.3662,
2023-10-03,0.3648,
2023-10-04,0.3617,
2023-10-05,0.3641,
2023-10-06,0.3669,
2023-10-09,0.3687,
2023-10-10,0.3703,
2023-10-11,0.3739,
2023-10-12,0.3786,
2023-10-13,0.3737,
2023-10-16,0.369,
2023-10-17,0.37,
2023-10-18,0.3648,
2023-10-19,0.3624,
2023-10-20,0.3606,
2023-10-23,0.3606,
2023-10-24,0.3591,
2023-10-25,0.3616,
2023-10-26,0.358,
2023-10-27,0.3639,
2023-10-30,0.3655,
2023-10-31,0.3592,
2023-11-01,0.3592,
2023-11-02,0.3623,
2023-11-03,0.368,
2023-11-06,0.3679,
2023-11-07,0.3682,
2023-11-08,0.3683,
2023-11-09,0.3683,
2023-11-10,0.3652,
2023-11-14,0.3707,
2023-11-15,0.377,
2023-11-16,0.375,
2023-11-17,0.3726,
2023-11-20,0.3771,
2023-11-21,0.3772,
2023-11-22,0.3768,
2023-11-23,0.3788,
2023-11-24,0.375,
2023-11-27,0.373,
2023-11-28,0.3746,
2023-11-29,0.3699,
2023-11-30,0.3725,
2023-12-01,0.3697,
2023-12-04,0.3635,
2023-12-05,0.3579,
2023-12-06,0.3598,
2023-12-07,0.3574,
2023-12-08,0.3584,
2023-12-11,0.3598,
2023-12-12,0.3624,
2023-12-13,0.3615,
2023-12-14,0.3632,
2023-12-15,0.3684,
2023-12-18,0.3664,
2023-12-19,0.3636,
2023-12-20,0.3622,
2023-12-21,0.3624,
2023-12-22,0.3554,
2023-12-26,0.3554,
2023-12-27,0.3612,
2023-12-28,0.3667,
2023-12-29,0.3667,
2024-01-02,0.3616,
2024-01-03,0.3589,
2024-01-04,0.3576,
2024-01-05,0.3563,
2024-01-08,0.3521,
2024-01-09,0.3521,
2024-01-10,0.3507,
2024-01-11,0.3556,
2024-01-12,0.3547,
2024-01-15,0.3556,
2024-01-16,0.3518,
2024-01-17,0.3434,
2024-01-18,0.3447,
2024-01-19,0.3469,
2024-01-22,0.3419,
2024-01-23,0.3478,
2024-01-24,0.3542,
2024-01-26,0.3545,
2024-01-29,0.3557,
2024-01-30,0.3498,
2024-01-31,0.3447,
2024-02-02,0.3459,
2024-02-05,0.3465,
2024-02-06,0.3577,
2024-02-07,0.3583,
2024-02-08,0.3575,
2024-02-09,0.3553,
2024-02-13,0.3553,
2024-02-14,0.3589,
2024-02-15,0.3642,
2024-02-16,0.3678,
2024-02-19,0.3649,
2024-02-20,0.3678,
2024-02-21,0.369,
2024-02-22,0.3725,
2024-02-23,0.3737,
2024-02-26,0.3732,
2024-02-27,0.3726,
2024-02-28,0.3678,
2024-02-29,0.369,
2024-03-01,0.3713,
2024-03-04,0.3734,
2024-03-05,0.3689,
2024-03-06,0.372,
2024-03-07,0.3687,
2024-03-08,0.3694,
2024-03-11,0.373,
2024-03-12,0.3778,
2024-03-13,0.3795,
2024-03-14,0.3795,
2024-03-15,0.377,
2024-03-18,0.3804,
2024-03-19,0.3756,
2024-03-20,0.3756,
2024-03-21,0.3807,
2024-03-22,0.3786,
2024-03-25,0.3779,
2024-03-26,0.3771,
2024-03-27,0.3745,
2024-03-29,0.3745,
2024-04-01,0.3745,
2024-04-02,0.3852,
2024-04-03,0.3837,
2024-04-04,0.3837,
2024-04-05,0.3811,
2024-04-08,0.3818,
2024-04-09,0.3852,
2024-04-12,0.3833,
2024-04-15,0.3795,
2024-04-16,0.3701,
2024-04-17,0.3739,
2024-04-18,0.3765,
2024-04-19,0.3667,
2024-04-22,0.3665,
2024-04-23,0.3717,
2024-04-24,0.3829,
2024-04-25,0.3808,
2024-04-26,0.3899,
2024-04-29,0.3922,
2024-04-30,0.3915,
2024-05-02,0.3929,
2024-05-03,0.3966,
2024-05-06,0.4002,
2024-05-07,0.399,
2024-05-08,0.3968,
2024-05-09,0.4015,
2024-05-10,0.4057,
2024-05-13,0.408,
2024-05-14,0.4092,
2024-05-15,0.4092,
2024-05-16,0.4111,
2024-05-17,0.4139,
2024-05-20,0.4145,
2024-05-21,0.4089,
2024-05-23,0.4075,
2024-05-24,0.4057,
2024-05-27,0.4099,
2024-05-28,0.4096,
2024-05-29,0.4052,
2024-05-30,0.3994,
2024-05-31,0.3949,
2024-06-04,0.4022,
2024-06-05,0.4017,
2024-06-06,0.4058,
2024-06-07,0.402,
2024-06-10,0.402,
2024-06-11,0.4011,
2024-06-12,0.4022,
2024-06-13,0.4058,
2024-06-14,0.4073,
2024-06-18,0.4062,
2024-06-19,0.4145,
2024-06-20,0.414,
2024-06-21,0.409,
2024-06-24,0.404,
2024-06-25,0.4037,
2024-06-26,0.406,
2024-06-27,0.4025,
2024-06-28,0.4049,
2024-07-01,0.4049,
2024-07-02,0.4014,
2024-07-03,0.4054,
2024-07-04,0.4094,
2024-07-05,0.409,
2024-07-09,0.4111,
2024-07-10,0.4098,
2024-07-11,0.4173,
2024-07-12,0.4167,
2024-07-15,0.4131,
2024-07-16,0.4101,
2024-07-17,0.4044,
2024-07-18,0.4002,
2024-07-19,0.3947,
2024-07-22,0.3911,
2024-07-23,0.3912,
2024-07-24,0.3878,
2024-07-25,0.3816,
2024-07-26,0.378,
2024-07-29,0.3769,
2024-07-30,0.3733,
2024-07-31,0.3776,
2024-08-01,0.3773,
2024-08-02,0.3592,
2024-08-05,0.3405,
2024-08-06,0.3492,
2024-08-07,0.3583,
2024-08-08,0.3547,
2024-08-09,0.3563,
2024-08-12,0.3623,
2024-08-13,0.3641,
2024-08-14,0.3618,
2024-08-15,0.3623,
2024-08-16,0.3695,
2024-08-19,0.3683,
2024-08-20,0.3666,
2024-08-21,0.3651,
2024-08-22,0.3663,
2024-08-23,0.3655,
2024-08-26,0.3645,
2024-08-27,0.3635,
2024-08-28,0.3603,
2024-08-29,0.3594,
2024-08-30,0.3637,
2024-09-02,0.3638,
2024-09-03,0.3638,
2024-09-04,0.3532,
2024-09-05,0.353,
2024-09-06,0.3543,
2024-09-09,0.3509,
2024-09-10,0.3476,
2024-09-11,0.346,
2024-09-12,0.3527,
2024-09-13,0.3516,
2024-09-17,0.3516,
2024-09-18,0.3516,
2024-09-19,0.3532,
2024-09-20,0.3554,
2024-09-23,0.3558,
2024-09-24,0.3618,
2024-09-25,0.3636,
2024-09-26,0.3787,
2024-09-27,0.3876,
2024-09-30,0.3932,
2024-10-01,0.3932,
2024-10-02,0.4125,
2024-10-03,0.4137,
2024-10-04,0.4204,
2024-10-07,0.4325,
2024-10-08,0.4107,
2024-10-09,0.4055,
2024-10-10,0.4128,
2024-10-11,0.4128,
2024-10-14,0.4119,
2024-10-15,0.4052,
2024-10-16,0.4005,
2024-10-17,0.3996,
2024-10-18,0.4128,
2024-10-21,0.4104,
2024-10-22,0.4151,
2024-10-23,0.4159,
2024-10-24,0.4101,
2024-10-25,0.4129,
2024-10-28,0.4128,
2024-10-29,0.4116,
2024-10-30,0.4082,
2024-11-01,0.4074,
2024-11-04,0.4139,
2024-11-05,0.4174,
2024-11-06,0.4182,
2024-11-07,0.4237,
2024-11-08,0.4206,
2024-11-11,0.4186,
2024-11-12,0.4092,
2024-11-13,0.4091,
2024-11-14,0.4054,
2024-11-15,0.4026,
2024-11-18,0.4007,
2024-11-19,0.4054,
2024-11-20,0.4066,
2024-11-21,0.4032,
2024-11-22,0.3996,
2024-11-25,0.3989,
2024-11-26,0.397,
2024-11-27,0.3989,
2024-11-28,0.3961,
2024-11-29,0.3981,
2024-12-02,0.4052,
2024-12-03,0.4099,
2024-12-04,0.4108,
2024-12-05,0.4069,
2024-12-06,0.4093,
2024-12-09,0.4173,
2024-12-10,0.4147,
